company_name,normalized_company_name,job_scraper,createdAt,updatedAt,deletedAt,company_jobpage,company_website,industry,imagelink,company_summary,company_description
Atticus,"Atticus ( atticushq, Atticusfranchisegroup, Atticus llc, Atticus family law)",TRUE,,,,https://boards.greenhouse.io/atticus?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://www.atticus.com/,Legal Services,https://ucarecdn.com/b4eccb81-5fec-4b0c-95ff-058c4403e1f1/atticus.png,"We help people in crisis get the aid they need, for free.","When you're injured, disabled, or wronged, Atticus gets you all the aid you're entitled to from government, insurance, and courts.
  
  At any given time, 15 million Americans are experiencing a crisis that requires urgent help from our legal system or government. The right assistance could transform their lives. But today, most never get it. 
  
  Atticus is a startup on a mission to change that. We're reinventing a broken space: the $100 billion market for legal services for individuals. We've taken a rare and exclusive commodity - access to expert legal advice and referrals - and made it free and available to everyone."
Bellco Credit Union,Bellco Credit Union,TRUE,,,,https://www.bellco.org/about-bellco/careers/?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&utm_ref=dwindlestudentdebt.com,https://www.bellco.org/,Banking,https://ucarecdn.com/8abf5a2c-6ed6-481e-806a-243132d75561/bellco-credit-union-logo.png,Serving Colorado's financial needs since 1936.,"Founded in 1936, Bellco Credit Union is one of the largest credit unions in Colorado, with more than $4 billion in assets, over 320,000 members and 25 branches in the Denver metro area and on the Western Slope. But despite its size, Bellco remains committed to its members and local communities, providing financial and volunteer support for numerous organizations. 
  
  As a member-owned not-for-profit business, Bellco delivers advantages that include lower interest rates on loans, higher yields on savings, shared branching with a national network of credit unions and access to thousands of surcharge-free ATMs. 
  
  Bellco offers a full range of financial products and services including checking, savings, investment services, mortgage loans, auto loans and business products and is proud to be an industry leader in technology and environmentally friendly business practices."
Best Buy,Best Buy,TRUE,,,,https://jobs.bestbuy.com/bby?id=all_jobs&spa=1&s=req_id_num%3Futm_source%3Ddwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,bestbuy.com,Retail,https://ucarecdn.com/5da1537d-6cec-40b1-b7ca-77425d608f35/best-buy-logo.png,Our purpose is to enrich lives through technology.,"We're a community of courageous change-makers, ambitious collaborators, and inspiring friends. 
  
  Whether it's working as a Geek Squad Agent, an in-store advisor, or in our corporate office, we offer each other support and prepare for what might come next."
Bon Secours Mercy Health,Bon secours mercy health system,TRUE,,,,https://careers.bsmhealth.org/search-jobs?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://bsmhealth.org/,Hospitals and Health Care,https://ucarecdn.com/dd0366a6-7d51-49b1-ac41-5c534e042567/bon-secours-mercy-health.png,"It is our commitment to be of service to all who need our care and help, especially the poor, underserved and dying. Our physicians, nurses and health care givers embrace the calling entrusted to them, providing compassionate healing and service as modeled by our foundresses.","On September 1, 2018 Bon Secours Health System and Mercy Health combined to become the United States fifth largest Catholic health care ministry and one of the nation's 20 largest health care systems. 
  
  With 48 hospitals, thousands of providers, over 1,000 points of care and over 60,000 employees Bon Secours Mercy Health serves communities across seven states and Ireland. We are dedicated to continually improving health care quality, safety and cost effectiveness. Our hospitals, care sites and clinicians are recognized for clinical and operational excellence. 
  
  By utilizing robust measurement and reporting processes, we hold ourselves accountable for enhancing care and improving outcomes for our patients, residents and clients."
Capital One,Capital One,TRUE,,,,https://www.capitalonecareers.com/search-jobs?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,capitalone.com,Financial Services,https://ucarecdn.com/be751021-5b45-45f7-8971-187eb23a0c4a/capital-one-logo.png,"At Capital One, we're changing banking for good. We were founded on the belief that no one should be locked out of the financial system. We're dedicated to helping foster a world where everyone has an equal opportunity to prosper.","We're a bank. But we don't think like one. We're always thinking about what's next. About how we can innovate. 
  Inspire. And develop the tools our customers need to improve their financial lives. That's where you come in. 
  Your ideas, your experiences and your skills will help us make banking simpler. Working here is about doing bold things. And having that feeling like you belong right where you are. Because we're doing cool work that lets you have a life outside of work. That's life at Capital One."
Carhartt,,TRUE,,,,https://www.carhartt.com/careers?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://www.carhartt.com,Retail Apparel and Fashion,https://ucarecdn.com/7c4f8a59-3732-4ee9-95a2-915713980ad2/carhartt.png,"Outworking them all since 1889.
  
Carhartt manufactures premium clothing known for exceptional durability, comfort, quality of construction and fit that you can feel in the fabrics and see in the performance.","Established in Detroit in 1889, our corporate headquarters is today located in Dearborn, Michigan and our U.S. facilities are located in Kentucky and Tennessee. 
  
  We have company-owned retail locations throughout the U.S. and our flagship store is located in Midtown, Detroit. We are proud to be making best-in-class apparel for the active worker. 
  
  Our work environment is friendly, business casual, family oriented and welcoming to all. Our dedication to quality is not only reflected in our products but also in our people. 
  
  At Carhartt, we are committed to providing our consumer with a brand they can trust and depend on, our associates with career challenges and rewards and our communities with support and assistance."
Carvana,,TRUE,,,,https://www.carvana.com/careers/all-listings?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://www.carvana.com/,Internet,https://ucarecdn.com/82427ec6-ac28-4494-bbc5-3077a1384993/carvana.png,"Carvana's mission is to change the way people buy and sell cars. At Carvana, We'll Drive You Happy.","Carvana offers an intuitive and convenient online car buying, selling, and financing experience. 
  
  Carvana.com enables customers to quickly and easily shop more than 55,000 vehicles, finance, trade in or sell their current vehicle to Carvana, sign contracts and schedule delivery or pickup at one of its patented, automated Car Vending Machines.
  
  Carvana is a Fortune 500 company, providing as-soon-as-next-day delivery to customers in over 300 U.S. markets."
Chegg,,TRUE,,,,https://osv-chegg.wd5.myworkdayjobs.com/Chegg?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://www.chegg.com/,Internet - Education,https://ucarecdn.com/2c6490dc-2c37-4dc7-a1a8-3c12b28c6a15/chegg-logo.png,The leading student-first connected learning platform.,"Chegg's Student Hub makes higher education more affordable and more accessible, all while improving student outcomes. 
  
  Chegg is a publicly-held company based in Santa Clara, CA with offices in San Francisco, New York, Portland, India, Israel, Berlin, and Ukraine. Chegg Student Hub Services Includes; Chegg Study, Tutoring, Writing Tools, Math Help, Test Prep, Careers Search, Internship Admissions, and College Admissions."
Chipotle,,TRUE,,,,https://jobs.chipotle.com/?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://chipotle.com/,Restaurants,https://ucarecdn.com/777b6848-a26e-4cd8-8127-760edd7a6020/chipotle.png,Real food. Real people. Real opportunities.,"When Chipotle first opened, the idea was simple: show that food served fast didn't have to be a ""fast-food"" experience. 
  
  We use high-quality raw ingredients and classic cooking methods, serve in a distinctively designed atmosphere, and provide an exceptional customer experienceâ€”features more frequently found in the world of fine dining. 
  
  As a fast-growing company, we're always looking for new people to join our team. We provide real opportunity for advancement and a fun, exciting work environment."
ChowNow,,TRUE,,,,https://get.chownow.com/careers/?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com,https://get.chownow.com/,Internet Publishing,https://ucarecdn.com/768db4bd-9270-4692-a5b3-0b116016e300/chownow.png,We help local restaurants thrive.,"ChowNow powers branded online ordering systems for independent restaurants across the US via restaurants own websites, on Facebook and Google pages, through ChowNow-created apps, and via ChowNow's website while also providing our restaurant partners key customer insights and marketing support. 
  
  We do all of this for a reasonable monthly fee, without the predatory third-party commissions charged by our competitors. 
  
  Using ChowNow allows diners to connect with the best independent restaurants in their communities to order takeout (and in some cases delivery) in a way that's sustainable and fair to restaurants."
Commonbond,,TRUE,,,,https://www.commonbond.co/careers?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com,https://www.commonbond.co/,Financial Services,https://ucarecdn.com/c40e9919-8230-4e0e-aba6-5b049db082b8/commonbond.png,Your friend in finance.,"CommonBond has built a values-driven, customer-centric fintech company. Our mission is to change the way people think about their personal finances and financial independence. 
  
  We accomplish this by offering products that increase monthly cash flow for consumers, leverage state-of-the art technology, and deliver award-winning customer service"
Connelly Partners,,TRUE,,,,https://www.connellypartners.com/careers/?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com,https://www.connellypartners.com/,Advertising Services,https://ucarecdn.com/db4f133a-e9c1-48c0-a61f-8d9c0d5e4e15/connelly-partners.png,"We're an advertising and marketing agency who believes in human emotions and the power to be ""Defiantly Human.""","As the largest independent agency in New England today, we are 170 Defiantly Human people that believe in the power of data but also the reality of emotion. 
  
  We believe that great data informs great creative and strategy, but there are some things only humans can do like buy your products and services. 
  
  We exist in defense of humans, with understanding of humans and commitment to humans. 
  
  We believe in the power of empathy and that our responsibility is to see the world through the eyes of our clients, their customers and our employees. 
  
  We fit best with brands that aspire to be Modern Brands, brands who acknowledge the changing rules of marketing and want what it takes to prepare for tomorrow."
Crew Carwash,,TRUE,,,,https://crewcarwash.com/apply-now?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com,https://crewcarwash.com/,Retail,https://ucarecdn.com/9251199c-594e-4fb4-808a-f8e6ae8df6a5/crew-carwash.png,"An Indiana based, multi-generational family business built to last.","For over 70 years, we've held fast to one goal - delivering a clean, quick carwash, every time, with a smile to the customer. 
  
  As our Founder, Joe Dahm often reminds us, we're really in the people business. We just happen to wash cars. And, we believe much of our success stems directly from treating our boss, the customer, to the best possible experience every time they visit."
